channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UC8hVivf-bg_-Vqzz4rZc2mg,UC8hVivf-bg_-Vqzz4rZc2mg,creator,2,880,8,0,440.00,0.009091,1.0000,440,440,0.00
UCzda5AC7Ms-oz-0sAEpS8qA,UCzda5AC7Ms-oz-0sAEpS8qA,creator,4,857,7,0,214.25,0.008168,1.0000,198,257.8,0.00
UCgCiirNw3YP8nuLN2PEaL4A,UCgCiirNw3YP8nuLN2PEaL4A,creator,2,848,3,0,424.00,0.003538,1.0000,424,470.4,0.00
UCH1Xhh3_raNHsHTaVRHju3A,UCH1Xhh3_raNHsHTaVRHju3A,creator,2,826,6,0,413.00,0.007264,1.0000,413,413,0.00
UC6_hzEipiV30HBB0H55p6Xw,UC6_hzEipiV30HBB0H55p6Xw,creator,3,814,13,1,271.33,0.017199,0.6667,277,375.4,0.00
UCmvZZXwdh_J-Es4u_R6iKHg,UCmvZZXwdh_J-Es4u_R6iKHg,hospital_clinic,3,804,10,0,268.00,0.012438,0.3333,23,615,0.00
UCSkUrFe7QCeCK7M13qIRuRQ,UCSkUrFe7QCeCK7M13qIRuRQ,creator,3,793,8,0,264.33,0.010088,0.0000,316,316,0.00
UCn5JLF4-bnegLgTo9ozkIcw,UCn5JLF4-bnegLgTo9ozkIcw,creator,1,777,13,4,777.00,0.021879,0.0000,777,777,0.00
UCKyPv84Szv_kUC7x4s-U3nw,UCKyPv84Szv_kUC7x4s-U3nw,creator,1,748,8,4,748.00,0.016043,1.0000,748,748,0.00
UCJXsrM0XT67WROf6vQy719A,UCJXsrM0XT67WROf6vQy719A,creator,1,720,3,0,720.00,0.004167,1.0000,720,720,0.00
UCRhJN1qXtyEmfu7u12M8KFw,UCRhJN1qXtyEmfu7u12M8KFw,creator,3,709,4,0,236.33,0.005642,0.6667,344,344.8,0.00
UC_0ofDFI1o6h47OV-OblJSQ,UC_0ofDFI1o6h47OV-OblJSQ,creator,2,696,20,0,348.00,0.028736,0.0000,348,348,0.00
UCSrL3gzR8bBS0B7r-z0mwxA,UCSrL3gzR8bBS0B7r-z0mwxA,creator,3,685,11,0,228.33,0.016058,0.6667,210,302.8,0.00
UCnQGAYumz3M7I_HHfAmLxMA,UCnQGAYumz3M7I_HHfAmLxMA,hospital_clinic,1,673,4,0,673.00,0.005944,1.0000,673,673,0.00
UCksVLLUNSeDDyiFF3IuKrww,UCksVLLUNSeDDyiFF3IuKrww,creator,1,672,3,0,672.00,0.004464,1.0000,672,672,0.00
UCvVRSo5EnhQJ1ZMuF8y9F0Q,UCvVRSo5EnhQJ1ZMuF8y9F0Q,creator,1,670,2,0,670.00,0.002985,1.0000,670,670,0.00
UCnGwQIgGA2vs4qCCUlGp6wA,UCnGwQIgGA2vs4qCCUlGp6wA,creator,1,668,13,0,668.00,0.019461,0.0000,668,668,0.00
UCV9cAJImma75-4Q1S_vDe0w,UCV9cAJImma75-4Q1S_vDe0w,creator,1,641,173,1,641.00,0.271451,0.0000,641,641,0.00
UC_G9F7ySalmj-q085Zgn36A,UC_G9F7ySalmj-q085Zgn36A,creator,1,636,19,4,636.00,0.036164,0.0000,636,636,0.00
UCtA3aCiB-uET-m_a8nXz03Q,UCtA3aCiB-uET-m_a8nXz03Q,creator,2,611,1,0,305.50,0.001637,1.0000,305.5,326.7,0.00
UC1a9biNtTFLXYgdoxvzoMKg,UC1a9biNtTFLXYgdoxvzoMKg,creator,1,609,0,0,609.00,0.000000,0.0000,609,609,0.00
UCHEg4ys4UEyzJ07rbz_d-4w,UCHEg4ys4UEyzJ07rbz_d-4w,creator,2,600,12,0,300.00,0.020000,1.0000,300,378.4,0.00
UCo1basVVrz_IZXEePolA5RA,UCo1basVVrz_IZXEePolA5RA,hospital_clinic,3,591,0,19,197.00,0.032149,0.6667,202,324.4,0.00
UCoi9u6GXET-Oh4y81ooO31Q,UCoi9u6GXET-Oh4y81ooO31Q,hospital_clinic,1,575,3,0,575.00,0.005217,1.0000,575,575,0.00
UCE-5YtEJ6J6nl4Odm2qMu3w,UCE-5YtEJ6J6nl4Odm2qMu3w,creator,1,520,10,0,520.00,0.019231,1.0000,520,520,0.00
UCl4uFDaQGweLwHnd0mloPdA,UCl4uFDaQGweLwHnd0mloPdA,creator,1,512,3,0,512.00,0.005859,1.0000,512,512,0.00
UCpAjKQ1b_bHvm96eSBrXdHQ,UCpAjKQ1b_bHvm96eSBrXdHQ,creator,1,510,12,2,510.00,0.027451,0.0000,510,510,0.00
UCNf2kpyequbZeHFlqgLJKUQ,UCNf2kpyequbZeHFlqgLJKUQ,creator,1,508,2,1,508.00,0.005906,1.0000,508,508,0.00
UCSJIqOWTb_1OBEriO0BwobA,UCSJIqOWTb_1OBEriO0BwobA,creator,2,508,0,0,254.00,0.000000,0.5000,254,450,0.00
UCWwJmDnHaxVCWoCeONaLzqw,UCWwJmDnHaxVCWoCeONaLzqw,creator,1,479,2,1,479.00,0.006263,1.0000,479,479,0.00
UC6WGulTntFHObYP-UseCtEA,UC6WGulTntFHObYP-UseCtEA,hospital_clinic,1,478,0,0,478.00,0.000000,1.0000,478,478,0.00
UCJZR7Zsi-aMrFwrZMG-D1NQ,UCJZR7Zsi-aMrFwrZMG-D1NQ,creator,1,465,2,0,465.00,0.004301,1.0000,465,465,0.00
UCkCaZ_DLD-I2hVHemxZo4RQ,UCkCaZ_DLD-I2hVHemxZo4RQ,hospital_clinic,1,444,3,0,444.00,0.006757,1.0000,444,444,0.00
UCodSBC4pLqNUYuB_o93OQhw,UCodSBC4pLqNUYuB_o93OQhw,creator,1,431,2,1,431.00,0.006961,1.0000,431,431,0.00
UC-o3y8LcZ8hOswkg5dTgUvg,UC-o3y8LcZ8hOswkg5dTgUvg,creator,4,427,14,0,106.75,0.032787,0.2500,105.5,162.5,0.00
UCP2zVtESzhRFhS0V-4JFRFg,UCP2zVtESzhRFhS0V-4JFRFg,creator,1,426,1,0,426.00,0.002347,1.0000,426,426,0.00
